,Score,Cluster,ID
0,18.3,2.0,4429
1,-1.6,4.0,2326
2,112.2,0.0,7763
3,3.8,1.0,6534
4,34.5,2.0,6459
5,4.4,1.0,5219
6,2.4,0.0,5414
7,-1.9,0.0,2953
8,30.9,0.0,4960
9,7.3,3.0,4242
10,30.6,0.0,7026
11,-4.5,5.0,1179
12,25.1,0.0,3570
13,21.8,0.0,4957
14,7.4,3.0,3076
15,54.2,0.0,8430
16,20.9,0.0,6350
17,43.8,0.0,5777
18,-0.3,3.0,2502
19,0.4,0.0,2046
20,83.9,0.0,8001
21,6.1,1.0,6934
22,0.3,5.0,1794
23,31.5,0.0,7030
24,5.0,3.0,6402
25,-3.7,7.0,422
26,-4.0,5.0,997
27,-3.0,3.0,2150
28,10.5,0.0,4083
29,-5.1,3.0,1215
30,114.4,0.0,7613
31,6.0,4.0,6884
32,-4.1,3.0,695
33,111.0,0.0,7732
34,9.0,0.0,4460
35,26.8,0.0,3908
36,27.5,2.0,6570
37,27.8,2.0,6143
38,2.0,1.0,4946
39,122.2,0.0,7714
40,8.0,0.0,4585
41,-4.8,2.0,624
42,11.4,3.0,4246
43,1.7,3.0,2919
44,9.5,0.0,5271
45,-3.8,7.0,276
46,-5.3,3.0,728
47,11.0,0.0,3661
48,4.6,2.0,3145
49,6.8,2.0,3155
50,-0.5,0.0,3029
51,11.1,0.0,4408
52,3.2,0.0,3301
53,7.2,0.0,4449
54,-4.6,3.0,124
55,-1.5,0.0,3821
56,22.9,3.0,8141
57,131.9,0.0,8703
58,0.5,4.0,4331
59,52.2,2.0,6870
60,-0.2,3.0,1277
61,-4.9,3.0,608
62,20.3,0.0,6721
63,219.8,0.0,8728
64,0.2,5.0,2412
65,0.7,2.0,2143
66,17.0,0.0,4952
67,107.8,0.0,8529
68,3.3,3.0,4617
69,44.3,0.0,7961
70,28.5,2.0,7099
71,-3.4,4.0,500
72,10.3,0.0,3632
73,-2.4,4.0,3186
74,5.3,0.0,4636
75,-3.9,4.0,985
76,43.3,0.0,8069
77,22.7,0.0,6586
78,8.4,3.0,2454
79,-4.7,3.0,991
80,2.2,3.0,5017
81,5.6,4.0,3523
82,0.1,3.0,3822
83,-1.4,3.0,2994
84,118.5,0.0,7620
85,6.6,2.0,3845
86,-5.2,3.0,1686
87,-3.3,7.0,1386
88,3.1,4.0,5871
89,2.6,3.0,6111
90,-1.8,5.0,1795
91,-0.9,7.0,2643
92,-3.1,3.0,2763
93,-2.5,3.0,2112
94,-2.6,3.0,30
95,97.5,0.0,8506
96,27.7,0.0,3919
97,4.2,3.0,3272
98,107.9,0.0,7484
99,95.1,0.0,8005
100,10.0,1.0,4938
101,12.8,0.0,4396
102,29.4,0.0,3580
103,6.3,1.0,5455
104,125.7,0.0,7986
105,8.5,1.0,4897
106,96.8,0.0,7744
107,-4.2,6.0,815
108,43.1,0.0,7965
109,-5.0,3.0,617
110,114.1,0.0,7733
111,5.8,0.0,4045
112,3.6,4.0,6799
113,17.6,1.0,5495
114,-0.7,4.0,5503
115,-0.0,3.0,2966
116,-0.8,3.0,2980
117,94.5,0.0,7454
118,2.3,2.0,3015
119,138.3,0.0,8041
120,5.7,0.0,3457
121,18.2,1.0,5787
122,-2.9,7.0,705
123,11.8,3.0,4115
124,2.8,3.0,2727
125,25.3,3.0,5459
126,-1.2,3.0,3474
127,59.9,0.0,8177
128,-2.7,7.0,1910
129,13.0,0.0,6102
130,107.4,0.0,7486
131,33.2,0.0,4949
132,130.5,0.0,7983
133,8.8,3.0,3277
134,52.5,0.0,7921
135,41.7,2.0,6706
136,13.6,2.0,6696
137,107.7,2.0,8658
138,-4.4,4.0,1490
139,5.2,0.0,3041
140,1.3,2.0,2802
141,37.3,2.0,5620
142,-2.0,2.0,1412
143,1.1,4.0,6765
144,51.6,2.0,5677
145,108.8,0.0,7615
146,124.2,0.0,7731
147,46.2,0.0,5657
148,12.4,3.0,4867
149,51.0,0.0,8095
150,10.4,0.0,5016
151,11.2,3.0,4416
152,-1.0,0.0,2298
153,4.7,1.0,6797
154,8.7,4.0,6862
155,-1.1,4.0,1940
156,5.1,2.0,4640
157,-1.7,5.0,1791
158,-3.5,4.0,1787
159,7.8,1.0,5098
160,-1.3,1.0,1961
161,16.4,2.0,7204
162,137.3,0.0,8087
163,5.4,0.0,5222
164,-0.4,3.0,3044
165,59.1,0.0,7891
166,12.2,3.0,4254
167,15.5,0.0,7954
168,-2.8,7.0,60
169,113.9,0.0,7725
170,-4.3,5.0,999
171,18.7,0.0,3900
172,126.5,0.0,7717
173,-3.6,4.0,1781
174,0.8,2.0,3601
175,17.5,0.0,5573
176,3.5,0.0,3096
177,121.0,0.0,7735
178,4.0,1.0,2533
179,142.3,0.0,8036
180,27.4,0.0,4798
181,123.4,0.0,8712
182,6.2,2.0,5914
183,12.7,0.0,5570
184,27.6,3.0,7896
